epoch,train_loss,val_loss,train_acc,val_acc
0,1.2286864686938166,0.7893095006202829,0.49144254278728605,0.513215859030837
1,1.081112972740988,0.730139200029702,0.5036674816625917,0.5462555066079295
2,1.0308001267099844,0.7013578096340443,0.5140586797066015,0.5550660792951542
3,0.9769350035676678,0.7252381022634178,0.5018337408312958,0.5418502202643172
4,0.9362825051094722,0.7073357742408226,0.4938875305623472,0.552863436123348
5,0.8697127948686915,0.6978758799618688,0.5128361858190709,0.5572687224669604
6,0.8316398789581744,0.6798115228784496,0.49755501222493886,0.5572687224669604
7,0.7918925152241605,0.6821981195745797,0.5256723716381418,0.5506607929515418
8,0.7798183901796063,0.6650555339352838,0.5073349633251834,0.5704845814977973
9,0.7517942537381811,0.681194611664476,0.5183374083129584,0.5550660792951542
10,0.7480574568498481,0.6701243622549649,0.5165036674816625,0.5572687224669604
11,0.7282599795211866,0.6633293628692627,0.5226161369193154,0.5726872246696035
12,0.7287658736543748,0.6749652726896878,0.5213936430317848,0.5594713656387665
13,0.7157633275661653,0.6714291017631004,0.5006112469437652,0.5594713656387665
14,0.705652888538768,0.6662769995886704,0.5171149144254279,0.5682819383259912
15,0.7104143934342467,0.6645928765165394,0.5006112469437652,0.5704845814977973
16,0.7048181440066366,0.6707505933169661,0.5140586797066015,0.5616740088105727
17,0.7003729198742839,0.6757801113457516,0.5140586797066015,0.5616740088105727
18,0.6911523706704668,0.671014339759432,0.5183374083129584,0.5572687224669604
19,0.6823032162721875,0.670227796866976,0.5330073349633252,0.5616740088105727
20,0.690607668705357,0.6686924058815529,0.5372860635696821,0.5638766519823789
21,0.6957650306155381,0.6686586326566236,0.5360635696821516,0.5682819383259912
22,0.6879097755672863,0.6621827195430624,0.5256723716381418,0.566079295154185
23,0.686810778761373,0.6618027728179405,0.5213936430317848,0.5704845814977973
24,0.6836190831314013,0.6684566592348034,0.5213936430317848,0.5616740088105727
25,0.6775010540647414,0.6642926232568149,0.5458435207823961,0.5704845814977973
26,0.6701434428252063,0.661526016120253,0.5605134474327629,0.5726872246696035
27,0.6881806092354857,0.6621614324635473,0.5281173594132029,0.5682819383259912
28,0.6794199330135456,0.6687461631051426,0.5378973105134475,0.5682819383259912
29,0.6818843773267802,0.6657412586541012,0.5220048899755502,0.5682819383259912
30,0.6799587265959064,0.6666343910940762,0.5452322738386308,0.5682819383259912
31,0.6846520200516414,0.6664701350804033,0.5336185819070904,0.5704845814977973
32,0.6782199555230373,0.6613240632517584,0.5421760391198044,0.5748898678414097
33,0.6753016062153195,0.667102706843409,0.5452322738386308,0.5638766519823789
34,0.6762364553016367,0.6641194388784212,0.5488997555012225,0.5726872246696035
35,0.6801827451557789,0.6684498519733034,0.5262836185819071,0.5682819383259912
36,0.6760888180686432,0.6622413314622024,0.5342298288508558,0.5682819383259912
37,0.6822235358571543,0.667375190504666,0.5495110024449877,0.5704845814977973
38,0.6825797951337204,0.6692787244402129,0.5458435207823961,0.5682819383259912
39,0.6817145579069563,0.6603811732653914,0.5262836185819071,0.5704845814977973
40,0.677502786650241,0.6648969300862017,0.5372860635696821,0.5726872246696035
41,0.6823844886520534,0.6672704445904699,0.5256723716381418,0.5682819383259912
42,0.6843791783434673,0.6656823569330675,0.5330073349633252,0.5704845814977973
43,0.6729198098182678,0.6642838284887117,0.5470660146699267,0.5726872246696035
44,0.6735155518772533,0.661348215464888,0.5458435207823961,0.5726872246696035
45,0.6777035975919187,0.6624279926563131,0.543398533007335,0.5726872246696035
46,0.6743078486433307,0.6600752575644131,0.5354523227383863,0.5726872246696035
47,0.6796220627803247,0.6655723144268167,0.5415647921760391,0.5726872246696035
48,0.6744606778459642,0.6623083825769096,0.5458435207823961,0.5748898678414097
49,0.6720690165908592,0.6571596963652249,0.5690709046454768,0.5682819383259912
